Method;MOTU;Total_sequences;Total_diag_sites;Diagnosable
Ward;1;10;1;Yes
Ward;2;3;0;No
Ward;3;49;0;No
Ward;4;16;0;No
Ward;5;2;1;Yes
Ward;6;15;0;No
Ward;7;18;0;No
Ward;8;4;2;Yes
Ward;9;2;0;No
Ward;10;4;0;No
Ward;11;1;0;No
Ward;12;3;1;Yes
Ward;13;1;0;No
Ward;14;110;1;Yes
Ward;15;6;1;Yes
Ward;16;7;0;No
Ward;17;18;0;No
Ward;18;6;1;Yes
Ward;19;6;1;Yes
Ward;20;3;2;Yes
Ward;21;1;2;Yes
Ward;22;19;0;No
Ward;23;15;1;Yes
Ward;24;1;1;Yes
Ward;25;22;0;No
Ward;26;9;1;Yes
Ward;27;1;7;Yes
Ward;28;7;0;No
Ward;29;5;0;No
Ward;30;2;1;Yes
Ward;31;10;1;Yes
Ward;32;3;0;No
Ward;33;26;1;Yes
Ward;34;23;0;No
Ward;35;4;0;No
Ward;36;3;0;No
Ward;37;3;1;Yes
Ward;38;17;0;No
Ward;39;30;0;No
Ward;40;17;0;No
Ward;41;7;0;No
Ward;42;3;1;Yes
Ward;43;2;0;No
Ward;44;2;1;Yes
Ward;45;10;0;No
Ward;46;5;1;Yes
Ward;47;15;0;No
Ward;48;8;0;No
Ward;49;2;2;Yes
Ward;50;28;0;No
Ward;51;10;1;Yes
Ward;52;7;0;No
ASAP;1;13;1;Yes
ASAP;2;100;1;Yes
ASAP;3;6;2;Yes
ASAP;4;5;0;No
ASAP;5;4;1;Yes
ASAP;6;141;2;Yes
ASAP;7;12;2;Yes
ASAP;8;4;4;Yes
ASAP;9;66;3;Yes
ASAP;10;1;7;Yes
ASAP;11;53;3;Yes
ASAP;12;97;1;Yes
ASAP;13;14;2;Yes
ASAP;14;40;3;Yes
ASAP;15;38;1;Yes
ASAP;16;7;0;No
bGMYC;1;7;0;No
bGMYC;2;78;4;Yes
bGMYC;3;164;6;Yes
bGMYC;4;1;7;Yes
bGMYC;5;4;4;Yes
bGMYC;6;66;3;Yes
bGMYC;7;4;1;Yes
bGMYC;8;11;2;Yes
bGMYC;9;113;2;Yes
bGMYC;10;12;2;Yes
bGMYC;11;141;2;Yes
KoT;1;13;1;Yes
KoT;2;53;3;Yes
KoT;3;97;1;Yes
KoT;4;116;2;Yes
KoT;5;38;1;Yes
KoT;6;28;0;No
KoT;7;82;0;No
KoT;8;12;2;Yes
KoT;9;66;3;Yes
KoT;10;18;1;Yes
KoT;11;7;0;No
KoT;12;2;0;No
KoT;13;25;0;No
KoT;14;2;2;Yes
KoT;15;5;0;No
KoT;16;10;1;Yes
KoT;17;7;0;No
KoT;18;2;1;Yes
KoT;19;3;1;Yes
KoT;20;3;1;Yes
KoT;21;1;0;No
KoT;22;6;2;Yes
KoT;23;1;7;Yes
KoT;24;4;4;Yes
bPTP;1;10;1;Yes
bPTP;2;3;0;No
bPTP;3;49;0;No
bPTP;4;16;0;No
bPTP;5;2;1;Yes
bPTP;6;15;0;No
bPTP;7;18;0;No
bPTP;9;4;2;Yes
bPTP;10;2;0;No
bPTP;12;4;0;No
bPTP;13;1;0;No
bPTP;14;3;1;Yes
bPTP;15;1;0;No
bPTP;16;116;2;Yes
bPTP;17;25;0;No
bPTP;18;6;1;Yes
bPTP;19;6;1;Yes
bPTP;20;3;2;Yes
bPTP;21;1;2;Yes
bPTP;22;34;1;Yes
bPTP;23;1;1;Yes
bPTP;24;22;0;No
bPTP;25;9;1;Yes
bPTP;26;1;7;Yes
bPTP;27;53;3;Yes
bPTP;28;97;1;Yes
bPTP;29;7;0;No
bPTP;30;3;1;Yes
bPTP;31;2;0;No
bPTP;32;2;1;Yes
bPTP;34;30;1;Yes
bPTP;35;8;0;No
bPTP;36;2;2;Yes
bPTP;37;28;0;No
bPTP;38;10;1;Yes
bPTP;39;7;0;No
